English,Persian
abandon,رها کردن
abandoned,متروکه
ability,توانایی
able,قادر
about,در باره
above,در بالا
abroad,خارج از کشور
absence,عدم
absent,غایب
absolute,مطلق
absolutely,کاملا
absorb,جذب
abuse,سو استفاده کردن
academic,علمی
accent,لهجه
accept,تایید کنید
acceptable,قابل قبول
access,دسترسی
accident,تصادف
accidental,تصادفی
accidentally,به طور تصادفی
accommodation,محل اقامت
accompany,همراهی کردن
according to,مطابق با
account,حساب
account for,حساب برای
accurate,دقیق
accurately,به درستی
accuse,متهم کردن
achieve,رسیدن
achievement,موفقیت
acid,اسید
acknowledge,اذعان
a couple,یک زن و شوهر
acquire,به دست آوردن
across,در میان
act,عمل
action,عمل
active,فعال
actively,فعالانه
activity,فعالیت
actor,بازیگر
actress,بازیگر
actual,واقعی
actually,در حقیقت
ad,آگهی
adapt,سازگار شدن
add,اضافه کردن
addition,اضافه
additional,اضافی
add on,اضافه کردن در
address,نشانی
add up,اضافه کردن
add up to,اضافه کردن به
adequate,کافی است
adequately,به اندازه کافی
adjust,تنظیم کردن
admiration,تحسین
admire,تحسین
admit,اقرار کردن
adopt,اتخاذ کردن
adult,بالغ
advance,پیشرفت
advanced,پیشرفته
advantage,مزیت - فایده - سود - منفعت
adventure,ماجرا
advert,آگهی
advertise,تبلیغات
advertisement,تبلیغات
advertising,تبلیغات
advice,نصیحت
advise,توصیه
affair,امر
affect,تاثیر می گذارد
affection,محبت
afford,استطاعت داشتن
afraid,ترسیده
after,بعد از
afternoon,بعد از ظهر
afterwards,بعد از آن
again,از نو
against,در برابر
age,سن
aged,سن
agency,آژانس
agent,عامل
aggressive,خشونت آمیز
ago,پیش
agree,موافق
agreement,توافق
ahead,در پیش
aid,کمک
aim,هدف
air,هوا
aircraft,هواپیما
airport,فرودگاه
alarm,زنگ خطر. هشدار
alarmed,نگران
alarming,هشدار دهنده
alcohol,الکل
alcoholic,الکلی
alive,زنده
all,همه
allied,متحد
allow,اجازه
allow for,اجازه برای
all right,خیلی خوب
ally,متحد
almost,تقریبا
alone,تنها
along,در امتداد
alongside,در کنار
aloud,با صدای بلند
alphabet,الفبا
alphabetical,به ترتیب حروف الفبا
alphabetically,بر اساس حروف الفبا
already,قبلا، پیش از این
also,همچنین
alter,را تغییر دهید
alternative,جایگزین
alternatively,متناوبا، از سوی دیگر
although,با اينكه
altogether,مجموع
always,همیشه
a.m.,صبح.
amaze,خیره کردن
amazed,متعجب
amazing,حیرت انگیز
ambition,هدف - آرزو
ambulance,امبولانس
among,در میان
amount,میزان
amount to,مقدار
amuse,مات و متحیر کردن
amused,خوشحال
amusing,سرگرم کننده
analyse,تجزیه و تحلیل
analysis,تحلیل و بررسی
ancient,کهن
and,و
anger,خشم
angle,زاویه
angrily,عصبانیت
angry,خشمگین
animal,حیوان
ankle,مچ پا
anniversary,سالگرد
announce,اعلام
